Date,Day,Open,High,Low,Close,Volume
2024-11-01 10:30:00,5,69638.1,69667.7,69628,69667.7,1.3643103
2024-11-01 10:31:00,5,69667.7,69606,69606,69667.7,3.21436729
2024-11-01 10:32:00,5,69606.1,69595.9,69578.7,69618,5.62259052
2024-11-01 10:33:00,5,69595.9,69609.9,69595.9,69636,1.97535045
2024-11-01 10:34:00,5,69609.9,69609.9,69600,69631.3,2.47291436
2024-11-01 10:35:00,5,69610,69583.9,69561.2,69610,4.1063614
2024-11-01 10:36:00,5,69584,69527.7,69514.1,69593,3.81637216
2024-11-01 10:37:00,5,69527.8,69545.9,69510,69546,1.29028936
2024-11-01 10:38:00,5,69546,69560.9,69535.8,69578.9,5.40002917
2024-11-01 10:39:00,5,69560.9,69523,69514,69573.9,3.17030338
2024-11-01 10:40:00,5,69524,69481.3,69481.3,69528.7,5.70102827
2024-11-01 10:41:00,5,69481.3,69478,69463.7,69511.5,7.99438611
2024-11-01 10:42:00,5,69478,69466.8,69462,69491.9,1.66786512
2024-11-01 10:43:00,5,69466.8,69462,69456,69469.9,1.27904895
2024-11-01 10:44:00,5,69462,69460.4,69454,69462.1,1.56900806
2024-11-01 10:45:00,5,69461.8,69450,69450,69490,6.00261696
2024-11-01 10:46:00,5,69450.1,69417.8,69405.5,69450.1,7.68813026
2024-11-01 10:47:00,5,69417.9,69418.4,69406.6,69443.1,1.8651084
2024-11-01 10:48:00,5,69418.5,69394,69381.8,69450,12.47988596
2024-11-01 10:49:00,5,69394.1,69421.3,69394.1,69438.7,1.29904301
2024-11-01 10:50:00,5,69421.4,69393.9,69393.9,69435.9,3.03197648
2024-11-01 10:51:00,5,69393.9,69356,69349.8,69393.9,6.47884589
2024-11-01 10:52:00,5,69355.9,69379.8,69355.6,69417.9,11.60105607
2024-11-01 10:53:00,5,69379.9,69340.6,69333.3,69380,2.32274553
2024-11-01 10:54:00,5,69341.9,69337.9,69323.3,69348,2.19166627
2024-11-01 10:55:00,5,69338,69389.8,69332,69391.6,6.27203613
2024-11-01 10:56:00,5,69390,69397.9,69380.7,69425.1,2.49216428
2024-11-01 10:57:00,5,69398,69366.4,69352,69400,3.78627156
2024-11-01 10:58:00,5,69366.5,69356.5,69356,69366.5,0.84533284
